chrom	hg19_start	hg19_end	name	disease_trait	disease_class	internally_replicated	independently_replicated	In_DHS	fetal_origin	-LOG(P)	sample_size
chr1	1005805	1005806	rs3934834	BMI	Quantitative_traits	N	N	Y	Y	6.22185	3925
chr1	2069680	2069681	rs3753242	Olanzapine_Schizophrenia_neurocognition	Drug_metabolism	N	N	Y	Y	6	738
chr1	2513215	2513216	rs734999	Ulcerative_colitis	Autoimmune_disease	Y	N	Y	Y	8.52288	26405
chr1	2553623	2553624	rs3890745	Rheumatoid_arthritis	Autoimmune_disease	Y	Y	N	NA	7	15853
chr1	3083711	3083712	rs2651899	Migrane	Neurological_behavioral	Y	N	Y	Y	8.39794	23230
chr1	3280252	3280253	rs6658356	Response_to_statin_therapy-LVDD	Drug_metabolism	N	N	N	NA	5.69897	3928
chr1	4315203	4315204	rs966321	Factor_VII	Serum_metabolites	N	N	N	NA	5.09691	1000
chr1	5170711	5170712	rs7513590	Height	Quantitative_traits	N	N	Y	N	5.30103	898
chr1	6631430	6631431	rs11587438	Basophil_count	Hematological_parameters	Y	N	N	NA	5.39794	8794
chr1	7879062	7879063	rs2797685	Crohns_disease	Autoimmune_disease	Y	N	N	NA	8.1549	21389
chr1	8021972	8021973	rs35675666	Ulcerative_colitis	Autoimmune_disease	Y	N	Y	Y	8.30103	26405
chr1	8046671	8046672	rs12727642	Celiac_disease	Autoimmune_disease	Y	N	N	NA	7.04576	15283
chr1	8422675	8422676	rs2252865	Schizophrenia	Neurological_behavioral	Y	N	Y	Y	5.52288	21856
chr1	8526141	8526142	rs4908760	Vitiligo	Miscellaneous	Y	N	Y	Y	14.1549	4021
chr1	8759553	8759554	rs12025126	Optic_vertical_cup-disc_ratio	Quantitative_traits	Y	N	Y	Y	7.22185	7360
chr1	10286175	10286176	rs17396340	Mean_platelet_volume	Hematological_parameters	N	N	Y	Y	7.52288	18600
chr1	10353111	10353112	rs10492972	Multiple_sclerosis	Autoimmune_disease	Y	N	N	NA	9.52288	240
chr1	10385470	10385471	rs17401966	Hepatocellular_carcinoma	Cancer	Y	N	Y	N	17.699	707
chr1	10638603	10638604	rs12741973	Optic_disc_size_rim	Quantitative_traits	N	N	Y	Y	5.1549	2216
chr1	10796865	10796866	rs880315	Diastolic_blood_pressure	Cardiovascular	Y	N	Y	Y	9.52288	19608
chr1	10796865	10796866	rs880315	Systolic_blood_pressure	Cardiovascular	Y	N	Y	Y	6.1549	19608
